game_id,line_items,weight,Codacabana,eyay,TakeTheMoneyAndRun,error404 ai,Bin busy,Non Deterministic,Teamers,AsianSuperNerds,Oasis,Claims Renaissance,Alpha,TBD,Nullpointer Naan,Trust Nobody,OPUSMOPUS,harissa eagles,makalu
27,4,1.0,-31556.8100,14493.0000,-11338.3600,37890.7400,11351.1300,-4127.3800,6254.5400,10350.5400,-8844.2850,-43906.8100,43367.7600,-19933.0200,-17370.5700,-717.9300,1730.0700,-9406.8100,-11448.3600
28,10,1.0,5524.5800,5966.4900,5985.0000,3642.9700,5298.1300,0.0000,5499.9100,5618.0000,-7760.5200,0.0000,0.0000,0.0000,-30108.8600,334.3000,0.0000,0.0000,0.0000
29,4,1.0,7668.3000,14371.6800,-27872.0150,13372.4100,19823.1200,-2657.8000,-14672.7750,-9847.6350,-4209.4700,3443.9650,16255.0550,-20443.6100,-9070.7050,-7342.4400,-9692.6650,12010.8200,-7507.8000
30,5,1.0,-1626.9400,-1486.5300,-131.3800,-896.4250,-3463.0400,-8485.3550,-2074.4300,1513.9400,-10797.4350,-1360.6950,302.4500,3434.2450,-3637.8850,-58.7550,1206.4750,-5117.2250,-16085.3550
31,18,1.0,-5562.6650,6714.9950,3305.7800,9366.9500,690.4000,-19192.9950,-8432.5700,-19192.9950,-8118.4700,-3206.3200,1731.8650,-2967.2200,-7532.6500,1235.1700,-4299.5450,14107.2400,-19192.9950
32,7,1.0,-3982.8700,3470.9400,5050.5400,4637.8950,6886.6200,6744.3100,-11000.9400,4208.2500,-4105.3900,1134.4700,1799.6000,-8278.5500,-2393.6400,-10890.1300,-3280.2700,6142.6600,-4231.6500
33,6,1.0,5451.0500,2891.5800,-1839.2800,6407.8750,-62.8250,-14723.3150,4049.4050,-3747.7800,-19170.5750,-16179.6800,-5079.0450,7248.8450,-250.1800,-7797.7050,5266.7450,-14429.2800,-16829.2800
34,25,1.0,-6135.3550,-7064.5850,-10983.9700,1025.6250,-3948.5600,1240.4800,-8754.7250,-50380.0650,-9898.8350,7336.5550,-581.5450,3643.4200,-4567.8300,-21650.0700,-12367.2150,3591.6950,-50380.0650
35,20,1.0,4366.1650,7691.9850,-11583.3300,1943.1800,3300.9100,16674.7050,8386.9350,-25546.4150,-6524.7150,-6633.7200,-24434.6950,-55266.6150,-15553.7300,3781.3400,-55266.6150,12851.1600,-55266.6150
36,10,1.0,2009.7400,1797.1500,1564.0000,1752.1200,2307.3500,0.0000,2061.1300,2565.0000,-7314.4100,-12697.3200,0.0000,2541.7700,0.0000,0.0000,2544.2800,869.1900,0.0000
37,17,1.0,7938.0150,570.8750,-6283.3750,-5263.8750,1938.6250,1657.5650,549.9800,-18260.7500,-40771.7650,12822.8750,-15176.5450,-14203.7200,-27793.2800,-13489.9600,-7554.2550,-6746.0350,-54314.7150
38,4,1.0,3557.0450,-4362.9450,-5020.2950,-637.9200,-503.8650,4080.9750,875.7650,3290.6500,-4201.4600,2610.1650,1037.4450,-8043.3400,-8776.1750,-12702.3950,-3126.4650,-8044.5200,-20630.8050
39,3,1.0,8579.0700,-11652.1950,1229.1200,-3615.5550,3677.1850,725.1600,3002.0550,-1185.5050,-9961.2950,-1826.6400,-511.5600,-4914.1600,5542.3650,-1879.9400,-7920.9950,-1527.5350,-11652.1950
40,13,1.0,-26208.8750,13502.0600,24395.3050,-11672.7450,22077.5000,27700.6750,-27667.1600,-1097.7700,-43772.3700,-14146.9550,-2881.2900,9081.4700,-23888.1000,-14649.4700,-29174.6200,-1530.5000,-43772.3700
41,4,1.0,-84948.9200,99167.6400,29814.2550,69730.4650,-20423.4900,-87520.2450,-46240.8100,-1561.7550,-67808.4650,-87520.2450,-87520.2450,-87493.5250,87364.2500,-86188.2450,107294.1850,-63590.1550,-87520.2450
42,17,1.0,38677.3450,-7332.7600,20743.7200,-7666.4900,8279.0700,23421.9650,-26834.7250,-17074.3900,-25797.2550,-52787.5050,-42664.2600,2864.1250,-18886.8600,-31277.6150,8636.2400,27964.6500,-52787.5050
43,4,1.0,-1065.8900,814.7450,-6641.6600,2577.9200,5801.0900,-2476.8550,-137.8050,-7687.7100,-9052.3350,-37.7100,-9052.3350,3500.6500,2878.7850,-4641.4950,3017.2500,-1010.9500,-9052.3350
44,11,1.0,68755.2650,76693.7600,-56898.0700,-35556.9550,28902.8200,39090.4000,-58481.6050,-31126.0650,-20883.1500,-48732.3700,-103808.0700,-29360.5750,-65220.1700,1058.5650,37046.4300,-103808.0700,-103808.0700
